Male Score,Female Score,Occupation
3.679626703262329,3.508496046066284,technician
3.612213611602783,3.47471284866333,accountant
3.6871724128723145,3.560539960861206,supervisor
3.6919362545013428,3.4593610763549805,engineer
4.115417957305908,3.8922793865203857,worker
3.609452486038208,3.513822078704834,educator
3.8420519828796387,3.7085156440734863,clerk
3.5707056522369385,3.445634365081787,counselor
3.788919448852539,3.600116729736328,inspector
3.636521100997925,3.497467041015625,mechanic
3.716923236846924,3.548844337463379,manager
3.426321029663086,3.3882455825805664,therapist
3.8780903816223145,3.6721997261047363,administrator
3.873274087905884,3.6468899250030518,salesperson
3.557056427001953,3.6699607372283936,receptionist
3.5234570503234863,3.4512665271759033,librarian
3.6753177642822266,3.5490405559539795,advisor
3.4536359310150146,3.3477890491485596,pharmacist
3.7374958992004395,3.5591070652008057,janitor
3.549459218978882,3.455395460128784,psychologist
3.5765128135681152,3.432548999786377,physician
3.63859486579895,3.4462592601776123,carpenter
3.471989393234253,3.672559976577759,nurse
3.6118545532226562,3.494523286819458,investigator
3.6049492359161377,3.499922275543213,bartender
3.8443753719329834,3.630984306335449,specialist
3.7158584594726562,3.506286144256592,electrician
3.984478712081909,3.7397453784942627,officer
3.549501419067383,3.39544677734375,pathologist
3.4404287338256836,3.405838966369629,teacher
3.7665300369262695,3.497695207595825,lawyer
3.6637091636657715,3.539431571960449,planner
3.764678716659546,3.6115763187408447,practitioner
3.4828290939331055,3.289660930633545,plumber
3.5831754207611084,3.4552464485168457,instructor
3.711085319519043,3.5327324867248535,surgeon
3.560490608215332,3.462756395339966,veterinarian
3.57942795753479,3.47769832611084,paramedic
3.6879217624664307,3.5338544845581055,examiner
3.5405938625335693,3.386409282684326,chemist
3.858508586883545,3.525123119354248,machinist
3.7843875885009766,3.6080923080444336,appraiser
3.6044468879699707,3.4867398738861084,nutritionist
3.6228466033935547,3.4270617961883545,architect
3.3767290115356445,3.3449368476867676,hairdresser
3.6588799953460693,3.5688369274139404,baker
3.6533725261688232,3.4468131065368652,programmer
3.5735459327697754,3.4484150409698486,paralegal
3.676908254623413,3.520716667175293,hygienist
3.6657137870788574,3.4846019744873047,scientist
3.7501680850982666,3.5483334064483643,dispatcher
3.675426483154297,3.546964645385742,cashier
3.6193182468414307,3.541611671447754,auditor
3.681882858276367,3.510586738586426,dietitian
3.4231460094451904,3.246206760406494,painter
